Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0527562118089456,-1.38777878078145E-17,0.114,0,0,0,77.6426862268652,2.59957458538828,5.69806816899689E-17,-9.07805793788492E-17,2.52245404748646,-9.38362326243889E-17,4.44933239940518,0,0,0,0,0,0,package://wust_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm/meshes/base_link.STL,,底盘简化-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LINK1,-0.0309311726066952,0.00224745211470057,0.0499650065695706,0,0,0,1.23114828212928,0.00104176830441621,-3.03644645109259E-05,5.32014737272526E-05,0.00207788123033341,-1.84486500895409E-08,0.00187982072763932,0,0,0,0,0,0,package://wust_arm/meshes/LINK1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK1.STL,,CNCJ2减速装置固定板后v1.1简化-1;CNCJ2轴承压板v1.1简化-1;碳板J2轴承压板v1.1简化-1;CNC底座v1.1简化-1;长铝条M4v1.1简化-8;CNC张紧1v1.1简化-1;小杯头螺栓M4_38v1.1简化-1;小杯头螺栓M4_38v1.1简化-2;长铝条M4v1.1简化-10;CNCJ2限位块2v1.1简化-1;铜柱M3-40v1.1简化-1;铜柱M3-40v1.1简化-2;铜柱M3-40v1.1简化-3;铜柱M3-40v1.1简化-4;铜柱M3-40v1.1简化-5;铜柱M3-40v1.1简化-6;打印件张紧2v1.1简化-1;CNC张紧3v1.1简化-2;CNCJ2轴承压板2v1.1简化-1;塞打螺栓6_12v1.1简化-1;惰轮v1.1简化-2;惰轮v1.1简化-3;打印件张紧v1.1简化-1;塞打螺栓6-35v1.1简化-1;打印件张紧柱子v1.1简化-1;碳板4mmJ2固定板v1.1简化-1;CNCJ2轴v1.1简化-1;碳板2mmJ2轴承v1.1简化-1;打印件B大yaw限位v1.1简化-1;达妙8009v1.1简化-4;CNCJ2减速装置固定板前v1.1简化-1;玻纤2mmJ2小带轮压板v1.1简化-1;CNCJ2小带轮v1.1简化-1;玻纤2mmJ2小带轮压板v1.1简化-2,坐标系1,J1,JOINT1,revolute,0,0,0.228,0,0,0,base_link,0,0,1,80,3.14,-3.14,3.14,,,,,,,,
LINK2,0.177751266208988,-0.00255404441028177,-0.00322544367052256,0,0,0,1.80385452680154,0.00122640865671327,-2.96971125172084E-07,3.93065790120474E-05,0.00574978787619446,7.70116435259639E-09,0.00661570921710756,0,0,0,0,0,0,package://wust_arm/meshes/LINK2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK2.STL,,铝方管L2v1.1简化-3;达妙8009v1.1简化-5;玻纤J3电机固定板后v1.1简化-1;Copy of 玻纤J3电机固定板前^机械臂整体改版v1.1简化-1;CNCJ2输出轴v1.1简化-1;CNCJ2大带轮v1.1简化-1;玻纤2mmJ2大带轮压板v1.1简化-1;CNCJ2大带轮2v1.1简化-1;深沟球轴承XUDZ6708v1.1简化-1;CNCJ2输出轴2v1.1简化-1;CNCJ2输出轴2v1.1简化-2;打印件J3电机套块v1.1简化-5;铜柱M4-8v1.1简化-1;铜柱M4-8v1.1简化-3;铜柱M4-8v1.1简化-6;铜柱M4-8v1.1简化-7;玻纤板J3轴承压板v1.1简化-1;CNCJ3轴承压件v1.1简化-1;CNC打印件J2限位块1简化-1;CNCJ3轴承压板v1.1简化-1;CNCJ3补强件v1.1简化-4;CNCJ2轴承压板3v1.1简化-1;玻纤板2mmL2简化-1;玻纤板2mmL2B简化-1;玻纤板2mmL2C简化-1;玻纤板2mmL2D简化-1;cncJ3轴承压盖简化-1;CNCL3限位v1.1简化-1,坐标系2,J2,JOINT2,revolute,0.024226,-0.0557,0.073,1.5708,-0.77059,3.1416,LINK1,0,0,1,40,3.14,-3.14,3.14,,,,,,,,
LINK3,0.0369632226170067,0.00188579140709311,-0.0449360681912289,0,0,0,0.548901795812278,0.000400270404363407,8.16978612558354E-06,-1.69798149154385E-06,0.000439160249487631,1.73709440368791E-06,0.000441715135483039,0,0,0,0,0,0,package://wust_arm/meshes/LINK3.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK3.STL,,打印件输出垫片v1.2简化-2;6mmD型孔联轴器v1.1v1.2简化-2;4310 减速电机 3D 20240304v1.1简化-1;铝方管L3v1.1简化-1;CNCJ4定心轴套v1.1简化-1;玻纤板4mmJ4定轴压板v1.1简化-1;长铝条M4v1.1简化-11;长铝条M4v1.1简化-12;长铝条M4v1.1简化-13;CNCJ4固定板改后v1.1简化-2;CNCJ3输出轴1v1.1简化-1;CNCJ3输出轴2v1.1简化-1;CNCJ3输出轴3v1.1简化-1;RM_ESC_Center_Board2v1.1简化-1;打印件分电板垫柱v1.1简化-1;打印件分电板垫柱v1.1简化-2;打印件分电板垫柱v1.1简化-3;打印件分电板垫柱v1.1简化-4;长铝条M4v1.1简化-18;玻纤2mm臂主控固定板v1.1简化-1;打印件图传外展垫块v1.1简化-1;CNCL3螺母v1.1简化-1;CNC螺母简化-1;实验室通用m3铝排简化-5;打印件输出垫片v1.2简化-3;CNCJ4主动齿轮33×2v1.1简化-1,坐标系3,J3,JOINT3,revolute,0.308,0,0.0328,-3.1416,0,2.371,LINK2,0,0,1,2.5,3.14,-3.14,3.14,,,,,,,,
LINK4,-5.60708231789331E-06,-0.000560596463217407,0.0281016428998701,0,0,0,0.422734334642278,0.000129695408967294,1.16117631560221E-08,-5.58722844028682E-08,0.000160697393905892,4.40265537930515E-08,0.000149087259182053,0,0,0,0,0,0,package://wust_arm/meshes/LINK4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK4.STL,,深沟球轴承61808ZZP2v1.1简化-1;CNCJ4输出轴v1.1简化-1;碳板J4输出轴压板v1.1简化-1;CNCJ4从动齿轮33×2v1.1简化-1;4310 减速电机 3D 20240304v1.1简化-2;长铝条M4v1.1简化-19;长铝条M4v1.1简化-20;长铝条M4v1.1简化-21;CNCJ4输出轴2v1.1简化-2;碳板4mmJ5左臂v1.1简化-2;CNCL5左v1.1简化-1;碳板4mmJ5左臂v1.1简化-3;碳板4mmL4补强v1.1简化-1;铝条M3v1.1简化-3;铝条M3v1.1简化-4;碳板4mmL4补强v1.1简化-2;CNCJ54310固定2v1.1简化-3;铝条M3v1.1简化-10;铝条M3v1.1简化-9;长铝条M4v1.1简化-22,坐标系4,J4,JOINT4,revolute,0.104,0,-0.033,1.5708,0,1.5708,LINK3,0,0,1,2.5,3.14,-3.14,3.14,,,,,,,,
LINK5,0.0709555542268894,0.00173738044024196,-0.00523425221371994,0,0,0,0.500708054274546,0.000173099440739686,-1.6751946209053E-05,1.35619993715969E-06,0.000444052455654741,1.05109932302214E-08,0.000426347925082584,0,0,0,0,0,0,package://wust_arm/meshes/LINK5.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK5.STL,,玻纤板4mmJ54310垫板v1.1简化-1;深沟球轴承v1.1简化-1;CNCJ5轴承固定v1.1简化-1;碳板4mmL5主动侧v1.1简化-1;4310 减速电机 3D 20240304.STEP-2;铝条M3v1.1简化-5;铝条M3v1.1简化-6;CNCJ54310固定3v1.1简化-1;碳板4mmL6主动侧v1.1简化-4;CNCJ6传动轴v1.1简化-1;碳板4mmL6从动侧v1.1简化-1;CNCJ6轴承压v1.1简化-1;铝条M3v1.1简化-7;铝条M3v1.1简化-8;碳板4mmL5从动侧v1.1简化-1;打印件J54310固定3v1.1简化-1;打印件末端走线挡块v1.1简化-1;打印件线材保护简化-2;碳板3mmJ6v1.1简化-1;CNCJ5固定v1.1简化-1;打印件分电板垫柱2简化-1;打印件分电板垫柱2简化-2;CNC末端带轮主动改版25齿v1.1简化-1;玻纤板2mmJ6带轮压板v1.1简化-1,坐标系5,J5,JOINT5,revolute,0,0,0.08,1.5708,-1.5708,0,LINK4,0,0,1,2.5,3.14,-3.14,3.14,,,,,,,,
LINK6,6.07958066477215E-05,-0.0211428165354287,-0.0016615291578837,0,0,0,0.236571640993016,0.000128968462277633,3.5249616009493E-08,6.98287806246856E-09,0.000155255038382667,6.89651723821149E-07,8.32051354369599E-05,0,0,0,0,0,0,package://wust_arm/meshes/LINK6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK6.STL,,CNCJ6从动轴v1.1简化-1;碳板J6轴承压板v1.1简化-1;CNC末端带轮从动改版25齿v1.1简化-1;末端钣金v1.1简化-2;MG4010-i10 (2)v1.1简化-2,坐标系6,J6,JOINT6,revolute,0.178,0.0073,0,1.5708,-1.5708,0,LINK5,0,0,1,2.5,3.14,-3.14,3.14,,,,,,,,
LINK7,2.49765409566262E-05,-3.53193308427757E-06,0.0222823464489815,0,0,0,0.213413704028442,2.17193893622239E-05,3.28236529565663E-10,-7.97685147961035E-09,7.10280014096153E-05,-6.24407936572133E-11,8.0768665640544E-05,0,0,0,0,0,0,package://wust_arm/meshes/LINK7.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK7.STL,,标准件-达妙科技 DM3507v1.1简化-2;CNCJ7传动轴v1.1简化-1;导轨夹爪v1.1简化-1;夹爪钣金v1.1简化-1;夹爪钣金v1.1简化-2;导轨夹爪v1.1简化-2;圆柱齿轮22×1.5v1.1简化-1;碳板3mm末端固定v1.1简化-2;打印件滑块限位v1.1简化-1;打印件滑块限位v1.1简化-2;打印件末端夹爪垫块简化-1,坐标系7,J7,JOINT7,revolute,0,0.0495,0,1.5708,0,0,LINK6,0,0,1,2,3.14,-3.14,3.14,,,,,,,,
LINK_TCP,0.0365999999999984,-2.38732552726439E-07,-0.0623821743797434,0,0,0,0.215385629538782,0.000117323453036748,1.58219827538991E-06,2.369578743582E-20,0.000113260745812654,-1.23210365066176E-19,9.89130157019991E-05,0,0,0,0,0,0,package://wust_arm/meshes/LINK_TCP.STL,1,1,1,1,0,0,0,0,0,0,package://wust_arm/meshes/LINK_TCP.STL,,TPU外壳v1.1简化-2;TPU外壳v1.1简化-1;玻纤板2mm固定板1v1.1简化-1;玻纤板2mm固定板1v1.1简化-2;齿条模数1.5v1.1简化-1;打印件齿条限位简化-1;玻纤板2mm夹爪固定板简化-5;齿条模数1.5v1.1简化-2;打印件齿条限位简化-2;导轨滑块v1.1简化-1;导轨滑块v1.1简化-2;玻纤板2mm夹爪固定板简化-4,坐标系TCP,,none,fixed,0.0366,0,-0.081603,3.1416,0,3.1416,LINK7,0,0,0,,,,,,,,,,,,
